97,Web site hit
171,%s
826,%s
827,%s
828,%s
829,%s
830,%s
831,%s
840,%s
841,%s
842,%s
872,%s
1079,%s
1107,%s
1028,Auto-dial failed: Current Connection Model is configured as Ethernet Only
333,Ethernet Port Down
332,%s Ethernet Port Up
1082,%s is operational.
1083,%s is unavailable.
1,Dumped to email at
3,*** Alert from SonicWALL***
26,[not found in tip]
176,[not found in tip]
496,SonicWALL Registration Update Needed:
1017,3G device detected
1026,3G Dial-up:
1027,3G Dial-up:data usage limit reached for the '%s' billing cycle. Disconnecting 3G session.
1055,3G: No SIM detected
518,802.11Management
572,A priorversion of preferences was loaded because the most recent preferences file wasinaccessible
611,A SonicOS Standard to Enhanced Upgrade was performed
761,Access attempt from host out of compliance with GSC policy
123,Access attempt from host without Anti-Virus agent installed
763,Access attempt from host without GSC installed
440,Access rule added
442,Access rule deleted
441,Access rule modified
443,Access rules restored to defaults
60,Access to proxy server denied
154,Active Backup detects Active Primary: Backup going Idle
18,ActiveX access denied
20,ActiveX or Java archive access denied
769,ADConnector %s response timed-out; applying caching policy
143,Add an attack message
911,Added host entry to dynamic address object
813,Adding Dynamic Entry for Bound MAC Address
603,Adding L2TP IP pool Address object Failed.
697,"Adding to multicast policyList , interface : %s"
699,"Adding to Multicast policyList , VPN SPI : %s"
261,Administrator logged out
262,Administrator logged out - inactivity timer expired
29,Administrator login allowed
30,Administrator login denied due to bad credentials
35,Administrator login denied from %s; logins disabled from this interface
328,Administrator name changed
783,All DDNS associations have been deleted
574,All preference values have been set to factory default values
752,Allowed LDAP server certificate with wrong host name
1085,Anti-Spam service is disabled by administrator.
1084,Anti-Spam service is enabled by administrator.
1088,Anti-Spam Startup Failure - %s
1089,Anti-Spam Teardown Failure - %s
795,Anti-Spyware Detection Alert: %s
794,Anti-Spyware Prevention Alert: %s
796,Anti-Spyware Service Expired
124,Anti-Virus agent out-of- date on host
408,Anti-Virus Licenses Exceeded
650,Application Filter Detection Alert: %s
649,Application Filters Block Alert: %s
793,Application Firewall Alert: %s
717,ARP request packet received
715,ARP request packet sent
716,ARP response packet received
718,ARP response packet sent
45,ARP timeout
816,ARP unused/ spare
843,ARS unused/ spare
844,ARS unused/ spare
845,ARS unused/ spare
846,ARS unused/ spare
1110,Assigned IP address %s
548,Association Flood from WLAN station
821,Authenticatio n timeout during Remotely Triggered Dial-out session
126,AV unused/ spare
73,Back Orifice attack dropped
825,Backup active
152,Backup firewall being preempted by Primary
145,Backup firewall has transitioned to Active
147,Backup firewall has transitioned to Idle
1059,Backup firewall rebooting itself as it transitioned from Active to Idle while Preempt
170,Backup going Active in preempt mode after reboot
149,Backup missed heartbeats from Primary
151,Backup received error signal from Primary
161,Backup received heartbeat from wrong source
672,Backup received reboot signal from Primary
824,Backup shut down because license is expired
219,"Backup WAN link down, Primary going Active"
823,Backup will be shut down in %s minutes
277,Bad CRL format
1009,Bind to LDAP server failed
505,Blocked Quick Mode for Client using Default KeyId
619,"BOOTP Client IP address on LAN conflicts with remote device IP, deleting IP address from remote table"
620,BOOTP reply relayed to local device
621,BOOTP Request received from remote device
618,BOOTP server response relayed to remote device
46,Broadcast packet dropped
274,Cannot connect to the CRL server
878,Cannot Validate Issuer Path
485,Category:
279,Certificate on Revoked list(CRL)
268,"CFL auto- download disabled, time problem detected"
1022,Chat %s
1020,Chat completed
1023,Chat failed: %s
1019,Chat started
1032,Chat started by '%s'
1021,Chat wrote '%s'
520,CLI administrator logged out
199,CLI administrator login allowed
200,CLI administrator login denied due to bad credentials
54,Code:
410,Computed hash does not match hash received from peer; preshared key mismatch
995,Configuration mode administratio n session ended
994,Configuration mode administratio n session started
537,Connection Closed
98,Connection Opened
273,Connection timed out
197,Content filter subscRIPtion expired.
21,Cookie removed
874,CRL has expired
270,CRL loaded from
876,CRL missing - Issuer requires CRL checking.
877,CRL validation failure for Root Certificate
360,Crypto DES test failed
361,Crypto DH test failed
367,Crypto hardware 3DES test failed
369,Crypto Hardware 3DES with SHA test failed
610,Crypto Hardware AES test failed
366,Crypto hardware DES test failed
368,Crypto hardware DES with SHA test failed
362,Crypto Hmac-MD5 fest failed
363,Crypto Hmac-Sha1 test failed
370,Crypto MD5 test failed
364,Crypto RSA test failed
1060,Crypto SHA1 based DRNG KAT test failed
365,Crypto Sha1 test failed
1109,CSR Generation: %s
781,DDNS association %s disabled
780,DDNS association %s enabled
779,DDNS association %s added
784,DDNS association %s deactivated
785,DDNS association %s deleted
782,DDNS Association %s put on line
778,DDNS association %s taken Offline locally
774,DDNS Failure: Provider %s
775,DDNS Failure: Provider %s
773,DDNS Failure: Provider %s
776,DDNS Update success for domain %s
777,DDNS Warning: Provider %s
698,"Deleting from Multicast policy list, interface : %s"
700,"Deleting from Multicast policy list, VPN SPI : %s"
92,Deleting IPsec SA
91,Deleting IPsec SA for destination
735,Destination IP address connection status: %s
57,Destination:
504,DHCP client enabled but not ready
109,DHCP Client did not get DHCP ACK.
